종목명,날짜,전체평점,평점,제목,장점,단점,이직이유
윈팩,2022.06.29,2.2,2.0,“제2의 군대랄까…”,커리어 쌓고 경험하는데에는 아주 좋음 업무 자율도도 만족스럽고 하지만 어떤 업무든지 알아서 해야하고 문제생기면 알아서 해결해야함 그래서 자유와 책임이 공존함,너무 시골에 있고 (내가 여자라도 안오겠다…) 급여 수준 너무 낮다 복지 없음 밥 별로임 군인이라 생각하고 다니면 속편하,
윈팩,2022.06.15,2.2,3.0,“업무강도는 적응할수있으나 어떤 팀을 만나느냐에 갈림”,3조2교대. 본인은 팀원들을 잘만나 서로간의 소통이 잘되는 점,연차 사용시 기존 근무자는 대근자를 구해야 가능하고 아닐시 사용이 어려운점,
윈팩,2022.06.08,2.2,2.0,“아무생각없이 댕기는회사”,"집이가까움
교대근무 시간때우기 딱좋음
능력없어도 크게티가나지않음","올라갈수록보이는꼰대문화
대단히 회식을중시함
챙겨주는척 하는회사",
윈팩,2022.06.03,2.2,3.0,“워라밸안좋아요”,그냥 세끼 다나오는게 좋은점인거같네요 그렇게 맛있진않지만..ㅋㅋ,"통근버스 불편하고 사내 매점도 없고,, 뭐 주변에 편의시설이없어요",
윈팩,2022.06.03,2.2,3.0,“돈 벌고싶으면 오면 되는 회사”,여기만큼 일을 빨리 배울수있는 회사가 있을까? 타 회사 대비해서 스킬업을 빨리 할수 있어서 좋다,여기 많큼 일을 많이 하는 회사가 있을까? 스킬업의 대가는 엄청난 열정과 노동으로 이루어짐,
윈팩,2022.05.24,2.2,1.0,“답이없는 회사”,"장접이랄께 없능회사
굳이 진짜 굳이 뽑자면...
물량에 중간이 없다?","1. 물량에 중간이 없어 바쁘면 답없이 바쁘고 한가하면
멍때리다 퇴근
2. 사내복지 최악
3. 꼰머 개많음",
윈팩,2022.05.18,2.2,1.0,“워라밸 보장안됩니다”,별로 서로 신경을 안써여 걍 자기 할일 하면 끝 근데 그것도 다 알아서 배워야함,워라밸 보장안됩니다 시골이고 차 무조건있어야하구 힘들어요,
윈팩,2022.04.21,2.2,3.0,“배움이 많은 회사”,"커리어 향상에 도움이 됨
기숙사 제공, 최근 사원급 연봉 인상이 많이 됨
사람들 좋음","업무량 많아졌다.
인원 부족하다.
회사 인수가 되서 조금 바쁘다",
윈팩,2022.03.14,2.2,2.0,“20세기 회사”,나의 미래가 보임 교대 근무라 돈이 되는거같음 짧게 돈벌기 좋을듯함,돈빼면 뭐가 있을까 라는 생각 정답인 회사 워라벨은 21세기 단어 여기 19세기~20세기,
윈팩,2022.01.25,2.2,4.0,“연구개발 직무는 추천! 실력키우기에는 좋을듯”,어보브반도체가 인수하면서 개발과제가 많아짐 비메모리 메모리 둘다할수있어서 실력키우기 좋을듯. 연봉도 중견만큼 주는듯? 개발직이라 그럴수도..다른 직무는 솔직히 잘모르겠음,너무 외지에있다는점.. 차가있어야 편하긴할듯합니다. 성과급 더 많이주세요,
윈팩,2021.12.31,2.2,4.0,“밥잘주고기숙사있음”,사람들이좋습니다. 대부분의팀원들이 좋은인상을심어줍니다..,기숙사가 가까운데 차가없으면 못다닙니다. 도보가없어요..,
윈팩,2021.11.16,2.2,2.0,“워라밸이 없지만 돈은 잘 모이는 회사”,"밥 3끼 제공, 기숙사 월5만원에 제공, 통근버스 운행","기숙사 노후화(신축도 있긴하나 걸리기 힘듬), 텃새가 심함, 사고 리스크가 큼",
윈팩,2021.10.27,2.2,3.0,“규모 대비 시스템 엉망인 곳”,사내 카페 있음.. 너무 구석진곳이라 이런거라도 없으면 안다닐거같음 ㅜㅜ,"외진곳이라 너무 멀고
전산 시스템이 제대로 안되어있음..",
윈팩,2021.10.16,2.2,2.0,“중소기업”,"장점은 정말로 없고, 월급 따박따박 나오는게 장점...",3조2교대 해서 몸 망가지고 고인물들이 있어서 물을 흐린다.,
윈팩,2021.09.30,2.2,1.0,“사람들만 좋은회사”,업무강도가 막 인원이 부족할 만큼 시키진 않음 신입때 ojt때 배우면서 항상 사수 엎에 있음 알바보단 좋은 회사,3조 2교대 워라벨 없음 일 없으면 강제 출근하고 퇴근,
테고사이언스,2022.09.14,1.8,1.0,“기본적인 것도 안해주는 회사”,"재정 탄탄해서 월급 밀릴 일 없음
팀장급 빼고는 젊어서 직원끼리 친근한 분위기","주말수당 없는 주말 출근
점심시간, 퇴근시간 안지켜짐
점심제공 없음
일일업무보고서 제출 후 퇴근인데 6시 이후에 작성하라 함",
테고사이언스,2022.09.11,1.8,3.0,"“본인 하기 나름 커리어 발전에는 도움, 급여와 복지는 기대이하”","본인의 능력과 의지가 있다면야
다양한 경험 및 기회가 확보 가능,
업무 분업화가 명확치 않다보니, 다양한 업무를 경험하게 됨.","2020년 회사라고 믿기는 어려울 정도의 과거 수준의 시스템
낮은 연봉
명절 때, 선물은 당연히 없는 낮은 복지",
테고사이언스,2022.07.16,1.8,1.0,“고인물 등쌀에 죽어나는 곳. 경력단절은 덤”,역세권이고 사옥이 있어서 그럴듯한 회사 다닌다는 기분 보장,"능력없는 고인물의 입김에 멀쩡한 사람 다 나간다
뭐 잘못되면 폭탄돌리기 하듯이 희생양 잡아 남탓
사내 cctv덕분인지 몰라도 공기조차 무겁다는 말 실감
세포특성상 워라밸 아작
눈치싸움 잘하고 아부잘하는 타입이거나 고인물에 편승해 본인도 빠르게 썩어버리면 장기근속은 가능할듯",
테고사이언스,2022.05.20,1.8,1.0,“대표가 왕인 왕국. 근데 대표는 본인을 신으로 모시는 신전이길 바라는 눈치”,"역세권
깨끗한 사옥
근처에 먹을것이 많음
주변에서 자취하기도 좋음","모든 보고서 파일을 하나하나 읽어봄 그리고 고나리질
문제는 실무도 잘 모르는데 간섭질을 하니 미치지
사내 cctv로 직원들 움직임 감시
매일 일일보고 내고 그걸 또 하나하나 읽어봄(가끔 코멘트)
대표 변덕 따라 줏대없는 사람들만 부서장 유지가능
복지가 진짜 없음. 상여금 이딴거 없고 탕비실에 그 흔한 티백하나 없으며 휴가 눈치주고 점심도 끊어버림. 사무용품도 빈약한데 그마저도 눈치봐야함.
근데 대표의 말은 거의 신격화해야함
근속연수는 거짓말을 하지않음",
테고사이언스,2022.02.22,1.8,2.0,“다양한 업무는 배울 수 있지만 워라벨은..”,사옥 역 가까워 출퇴근 용이 주변 음식점이 많다 말곤..,부바부겠지만 전반적으로 눈치게임 잘 해야 살아날 수 있음,
테고사이언스,2021.09.27,1.8,1.0,“일을 많이배울수 있는회사ㅡ”,1.업무량이 많기때문에 연구직은 다양한업무를 배울수있다,"1.칼퇴불가능(세포특성상 실험후중단이불가능하여 세포일은 항상 6시이후 실험함)
2.세포특성상 오랜기간 휴가불가능(절대 세포관련일을 하지않겠다는 다짐을함)
3.일일업무보고
4.이러한 특성들 때문에 사람이 많이갈림","세포라는 업무특성상 모든 생활을 세포배양주기에 맞춰야하고 세포배양이 딜레이됨에도 실험 기간은 맞추어야하는 악순환

무엇보다 경영진들이 직원들에 대한 배려가 전무함"
테고사이언스,2021.05.28,1.8,2.0,“경력단절되는 회사”,2년만 다니면 어느 누구에게라도 비위맞출 수 있는 능력이 생김.,"군대식마인드(이건 모든 직원이 하는 말)
일이 잘못되면 해결하기보다 남탓하기 바쁨
10년차 8년차 밑에 경력이 1년차 2년차임(고인물 못 버텨서 신입 다 나감).
경력 단절될 가능성 많음.",
테고사이언스,2021.05.03,1.8,3.0,“작은 군대”,남에게 관심이많아 내 사소한 얘기도 남의 얘기거리가될수있음,어디에서부터 시작된건지 모르는 군대문화 강압적이고 의견제시하면 몰매맞음,
씨유메디칼시스템,2022.05.28,2.8,1.0,“무능한 사람이 좋은 대우받는 아이러니한 회사”,월급 안 밀린다. 창립기념일에 쉰다. 무능한 사람한테 매우 관대하다.,"열심히 일 잘하는 사람만 바보되는 구조라 회사를 다니다 보면 어느새 목표, 자존감, 책임감 등이 사라지는 마법같은 회사다. 체계가 없어서 주먹구구식으로 운영된다. 딱히 미래도 비전도 없어 보인다.",
씨유메디칼시스템,2022.05.17,2.8,4.0,“시스템이 안갖춰져있는 회사”,"음.. 장점이 없는게 장점이다.
입사 퇴사가 자유롭다

연구개발에 적극적으로 지원을해준다.
회사에 돈이 많다.","커리어에 큰 도움은 안됨

이 부분이 제일 아쉽다.

인지도가 없는게 큰 단점",
씨유메디칼시스템,2022.04.07,2.8,5.0,“워라벨만 좋은회사”,"워라벨은 어디가서 안좋은편은 확실히 아님.
부서마다 연봉 차이가큼","업무 구분선이 명확하지않음
상장사라서 체계적으로 업무를 배우고 싶어 온다면 비추",
씨유메디칼시스템,2022.03.10,2.8,5.0,“워라밸 원툴”,칼퇴 연차 눈치안줌. 회사 규모에 비해 연봉이 나쁘진 않음,그냥 뭐하는지 관심이 별로없는듯. 고인물들 제자리걸음만 하고있고,
씨유메디칼시스템,2022.02.13,2.8,2.0,“엮이고 싶지 않은 회사”,"정시퇴근, 재직 당시 금요일 3시반 퇴근이 있었으나 지금은 없어졌다고 들음",상명하복 문화가 극명함 회사에 대한 장기적인 비전이 보이지 않음,안팎으로 시끄러운 이슈들이 터지고 이돈이면 다른데서 일하는게 낫겠다는 판단
씨유메디칼시스템,2022.01.22,2.8,3.0,“정체가 찾아온 의료기기 1세대 업체”,"퇴근시간 완전 칼이고 업무외적인 일은 시키지 않는다. 주말, 명절, 연휴 보장이 철저한 편으로 쉴 땐 정말 쉬는 회사. 사람들이 대체로 무난하고 좋은 사람들도 많음. 어딜가나 한두명씩 있는 이상하고 난폭한 캐릭터는 딱히 없으므로 낮은 직급이 마주할 스트레스는 낮은 편.

자기 업무영역에 대해 프로의식을 가진 장기근속자들이 많다. 그러나 이는 단점에서도 언급 예정.","부서이동이 거의 없어 사람들이 처음 배치된 곳에서 고여버림. 결국 다양한 업무경험이 불가능하고 부서간 떠넘기기가 빈번한 편이다. 인원이 그닥 많지않음에도 사업장이 분산되어 있다보니 직원간 일체감이 부족하고 이슈대응, 의사결정이 느린 편.

확대는 커녕 축소되는 복지.. 금요일 3시반 퇴근이 나름 소확행이었으나 어느날 폐지.

옛날옛적과 달리 동일품목 제조사가 많아진 현 시점에서의 제품경쟁력은 글쎄..",
씨유메디칼시스템,2022.01.04,2.8,4.0,“중소기업치고 괜찮은회사”,"중소기업 치고 높은 연봉을 받는다
일배우기 좋은 환경이다","연구소는 8시퇴근
본사가 시내랑 너무 멀다
잡업뮤가 많다",
씨유메디칼시스템,2021.11.07,2.8,1.0,“머리좋은 사람은 빨리 떠나는 회사”,퇴근빨리하는건 좋아요. 워라벨인가요. 그리곤 별로 없어요,군인같은 문화였는데 대표 바뀌고는 색깔이 없어져 이도저고 아님,개인발전 회사발전 1도 기대안됨. 빨리 떠나고만 싶음.
씨유메디칼시스템,2021.07.08,2.8,1.0,“이유 있는 회사”,"구내식당이 있고, 제공되는 식사의 질이 좋음. 밥맛이 일반식당보다 좋음","칼퇴라고 하지만, 칼퇴 할 수 없는 현실. 하나 잠재우면 하나가 일어나는 육아와 같은 경험",
씨유메디칼시스템,2021.04.16,2.8,3.0,“돈은 중소치곤 괜찮은데 대표가 좀 ..”,"중소 치고는 급여가 좀 괜찮았음
그냥저냥 일배우기엔 괜찮았음
지방이라 출퇴근 차로 하기 편함","워라밸 없었음
강압적인 임원들의 태도
사람을 소중히 여기지 않음","임원진의 까라면 까 태도
직원을 소중히 하지 않고 쉽게 여기는 마음들에 지쳐서"
씨유메디칼시스템,2021.04.03,2.8,3.0,“워라밸 하나는 좋은 회사”,칼퇴가 보장되는 회사 저녁이 있는 삶 점심식사 제공 됩니다,다소 보수적이고 경직된 사내문화 오너의 파워에 나몰라라하는 임원진,
씨유메디칼시스템,2021.01.26,2.8,2.0,“월급은 적게 주면서 일은 많이 시키는 회사”,토요일 3시 반 퇴근이 유일한 장점임. 평일엔 야근이 많아도 금요일 만큼은 다들 일찍 가는 분위기.,타 회사에 비해 현저히 적은 월급. 과장 기준으로 서울에 위치한 타 회사에 비해 천만원가량 연봉이 적음. 돈은 적게 주면서 원주에서 이정도면 많이 주는거라고 세뇌시키듯이 계속 얘기함. 일이 많아서 야근을 하는 경우가 많지만 야근수당은 없음. 솔직히 누가 노동부에 찌르면 뒤집어질거 같음.,
씨유메디칼시스템,2021.01.09,2.8,1.0,“인생에 허무감을 처절하게 남겨주는 회사”,"5시 반 칼퇴근~ 금요일엔 3시 반 퇴근, 윗 사람들이 그렇게 터치도 없는 것 같음.","대표이사가 직원들 앞에서 막말하고 담배 피움.
회사엔 관심없다가도 문제 생기면 모두 직원 탓으로 돌림.
회사를 팔고 싶은 건지 돈만 밝히는게 너무 티남.
이사들은 눈치만 보고 무능함만 보임.",
씨유메디칼시스템,2020.11.18,2.8,4.0,“워라벨이 보장되는 회사”,"워라벨이 보장되는 회사이며 8:30출근 17:30퇴근
금요일 15:30분 퇴근",회사정책이 일관성없이 즉흥적으로 바뀌는 경우가 있어서 혼란스러울때가 많음,
아스타,2022.05.12,1.0,1.0,“워라벨만 존재하는 회사”,"연차를 대체적으로 자유롭게 사용할 수 있음.
정시 퇴근 가능","체계가 엉망이며 방향성이라는 것이 존재하지 않음.
인적 자원 관리가 안됨. 퇴사자만 존재하고 신입은 없음.
커리어에 도움이 될 만한 소재가 없음.",
아스타,2022.02.07,1.0,1.0,“워라벨만 좋음”,부바부이긴 하지만 대체적으로 워라벨은 좋은편임. 점심 제고,"낮은 연봉, 불투명한 미래, 경력 도움 안되며, 직원들에게 책임 전가함",
아스타,2022.01.13,1.0,1.0,“젊은 신입사원이 들어오면 커리어에 대한 걱정이 커질듯”,"아무것도 하지 않으면 아무것도 시키지 않음
반면교사들이 많아 보고 배울 수 있음","연구원의 수보다 상무 이상의 수가 많고 책임감 없는 임원들의 책임 회피 및 업무 방향성의 변동으로 어떠한 일도 진행할 수 없음.
주주들의 돈으로 윗선들이 취미생활하는중. 지시에 반박하면 멍청한 사람 취급을 받음.
퇴사자가 생기면 그 사람이 하던 일은 자연스럽게 사라짐. 인수인계 없음.
타사에서 은퇴하는 사람들이 점점 자문위원으로 한자리씩 차지하고 있지만 정작 개발인원은 모두 퇴사중이라 일 할 사람이 없음. 이로 인해 본인의 전공과 맞지 않는 일들을 많이 하게 됨.
이정도면 충분한가요?",
